,,,,,,Value,Value,Val error,Val error
,,,,,,mean,std,mean,std
Experiment_id,Dataset,Training,Adaptation steps,Horizon,Vrae weight,,,,
VRAE11_ABLATION,BATTERY,MMAML,0,1,0.001,0.039315336694320045,0.003927447834449912,,
VRAE11_ABLATION,BATTERY,MMAML,0,10,0.001,0.03915956368048986,0.003915315130369151,0.03876591846346855,0.0041311079255801
VRAE11_ABLATION,BATTERY,MMAML,1,1,0.001,0.0027751095282534757,0.00022929889424838513,,
VRAE11_ABLATION,BATTERY,MMAML,1,10,0.001,0.0021116869368900857,0.00019099513963030296,0.0023225514062990746,0.00015603878527189384
VRAE11_ABLATION_1,BATTERY,MMAML,0,1,0.001,0.002508780173957348,7.256186736424806e-05,,
VRAE11_ABLATION_1,BATTERY,MMAML,0,10,0.001,0.001860935683362186,6.379649614654389e-05,0.00212392034009099,7.161819472596599e-05
VRAE11_ABLATION_1,BATTERY,MMAML,1,1,0.001,0.0021521078422665598,7.93303814383153e-05,,
VRAE11_ABLATION_1,BATTERY,MMAML,1,10,0.001,0.0015958914067596198,0.0001003004125438722,0.001857673330232501,0.0001150186878562848
VRAE11_ABLATION_2,BATTERY,MMAML,0,1,0.001,0.005995441041886806,0.000990139411580261,,
VRAE11_ABLATION_2,BATTERY,MMAML,0,10,0.001,0.005155323166400194,0.0007255416596837909,0.005197298247367144,0.0006951999430595846
VRAE11_ABLATION_2,BATTERY,MMAML,1,1,0.001,0.0023671887814998628,0.0003637641247942999,,
VRAE11_ABLATION_2,BATTERY,MMAML,1,10,0.001,0.0021213181549683212,0.0003797454800486339,0.002282391348853707,0.0003354279077486542
VRAE12_ABLATION,BATTERY,MMAML,0,1,0.0,0.039295781403779984,0.0009155619279364325,,
